,x,y
0,37,488
1,116,433
2,128,383
3,134,328
4,143,390
5,141,441
6,138,492
7,129,543
8,121,605
9,111,692
10,191,630
11,211,558
12,212,507
13,224,457
14,249,502
15,229,549
16,215,609
17,190,707
18,189,808
19,273,752
20,306,656
21,319,555
22,333,486
23,347,436
24,372,481
25,363,532
26,353,592
27,351,693
28,364,794
29,434,790
30,448,689
31,462,620
32,470,569
33,476,518
34,478,467
35,479,416
36,482,365
37,494,296
38,543,320
39,543,378
40,546,429
41,558,479
42,606,425
43,609,363
44,613,288
45,608,196
46,566,112
47,492,57
48,403,29
49,342,22
50,251,49
51,174,98
52,105,151
53,63,225
54,56,311
55,51,382
